Bahasa Ambon,English
talapak kaki,n. sole of the foot.
talapak tangang,n. palm of the hand.
talasu,ppt. masturbated. cf. lasu.
tali,"n. 1. vine. 2. rope, twine, cord, lashing material. 3. n. A kind of children's game in which the players proceed through grids etched in the earth. game part."
tali Balanda,n. hemp rope.
tali calana,n. cord used to hold up boxer shorts.
tali capatu,n. shoelace.
tali damang,n. (nautical) sheet rope. Also tali skoot.
tali gamutu,n. rope spun from the fiber of the areng palm.
tali hahesi,n. a kind of cord made from sago palm fiber.
tali jangkar,n. anchor line.
tali kaeng,n. sash to hold up a woman's sarong.
tali labrang,n. (nautical) shroud.
tali luleba,n. strands of loleba bamboo skin used for lashing.
tali nyimu,"n. cord, twine."
tali pusa,n. umbilical cord.
tali rotang,n. rattan lashing material.
tali skoot,n. sheet rope. Also tali damang.
talingang,n. ear.
talingang tikus,n. a kind of mushroom favored in Chinese cooking.
talipa,adj. folded. vi. be folded.
taloi,n. earthenware eating plate.
taloor,n. 1. egg. 2. testical. 3. (pejoratively) offspring.
talucu,v. slip. adj. come loose.
talunjuk,see jari talunjuk.
tamaang,"n. friend, companion."
tamba,"v. add. adv. additionally. Jang ose stori biking beta gila tamba, Don't make me any crazier with your words."
tamba gas,v. increase the RPM of an engine.
tamba mulu,"v. (literally ""add mouth"") put in one's two-cent's worth."
tambaga,n. copper and its alloys. cf. kuningang.
tambur,n. A kind of drum. cf. tifa.
tambuus,v. pass all the way through. adj. passing all the way through.
tamiring-miring,adv. in a staggering or wobbling manner. Ontua bajalang tamiring-miring = He staggers.
tampa,n. 1. place. 2. print left behind. 3. bed (also tampa tidor).
tampa api,n. fireplace.
tampa bajalang,n. place where something has walked or habitually walks.
tampa dudu,"n. sitting place, including bench, sofa, chair, etc, but usually a bench."
tampa kaki,n. footprint.
tampa maso,n. entrance.
tampa mati,n. side of head directly behind each eye.
tampa nae,n. notch cut into the side of a tree to be used in climbing.
tampa siri,"n. box, usually of brass, for storage of betel-nut chewing condiments."
tampa tangang,n. handprint.
tampa tidor,n. bed.
tampar,v. slap. Also tampeleng.
tampayang,"n. large earthenware jar, usually for water or sagero."
tampeleng,v. slap. Also tampar.
tampias,"v. spatter, bounce away. PAN ampias, wind-driven rain."
tampurung,n. coconut shell.
tamu,n. guest.
tamunta-munta,v. be siezed by a spell of vomiting.
tana,n. 1. ground. 2. earth. 3. land.
Tana Ambong,n. The Land of Ambon.
tana isi,n. bare earth.
tana lapang,n. field used for games or ceremonies.
tana mera,n. red clay.
tana rata,n. level ground.
tanae,"v. raise up slightly, be slightly raised."
tanaga,n. energy.
tanala,v. hunt for phalanger.
tanang,v. plant.
tanase,n. the man who sits at the front of an arombae to spot fish and give directions.
tanati,n. right time (for fishing).
tandaang,v. kick. also sepa. cf. skoot.
tandu,n. stretcher.
taneng,vt. see tanang.
tang,n. tongs. itj. 1. Sound of metal striking metal. 2. Sound of a gunshot.
tangada,"adj. across from, in front of."
tanggal,n. calendar date.
tanggo,see tanggu.
tanggu,"n. 1. small, round fishing net having wooden handle. 2. church offering bag affixed to a long wooden handle. cf. jareng."
tangii,adj. see tengii.
tangsi,n. barracks.
tanital,n. 1. mountain ridge. 2. snare(?) Also tanitang.
tanitang,see tanital.
tanjong,n. point of land protruding into the sea.
tanta,n. aunt. Form of address for a female patently older than oneself. cf. usi.
tantara,n. soldier.
tante,see tanta.
tanuar,n. 1. feeding time. 2. time.
tanusang,"n. a small patch of land rising just above the water level (as a sandbar in a river, or a sandy coral reef). cf. saxaro."
taong,n. year.
taong-taong,see burung taong-taong.
tapalang,n. 1. A raised platform with a floor of split bamboo. 2. A sleeping platform of gaba-gaba. 3. The floor of a stilt house.
taparegu,"v. busy, encumbered. adj. encumbered. Also tapareku."
tapareku,see taparegu.
taparika,v. tangle. adj. tangled.
tapi,sbr. but.
tapikoong,n. mystic.
tapis,v. 1. winnow. 2. strain with a sieve.
tapisang,"n. strainer, sieve."
tapoong,n. flour. Also tarigu.
taproop,adj. plugged up.
tapukul,v. 1. Thud against something. 2. pound suddenly (as the heart from fear).
taputar,"v. 1. revolve, spin. Afiong ada taputar = (The) top is spinning. 2. get involved with. Jang taputar deng parampuang itu = Don't (get) involved with that woman. 3. wander about."
tar,"adv. no, not. Tar mau = don't want to. Also tra."
tar bae,adj. no good.
tar bisa,adj. unacceptable as an argument.
tar laku,adj. worthless. Os manusia tar laku! = You worthless person!
tar pake,"adj. completely unattractive, having no appeal."
tar pung muka di modeblaat,"adj. unattractive, unimportant, and unpopular (of females)."
tar tahu,"adv. never. Beta tar tau pi di sana, I never go there."
tar taku mati,adj. not afraid to die.
tar tau malu,adj. shameless.
tar ujung tar pohong,adj. without purpose or meaning.
taraang,"n. 1. light. 2. lamp. adj. 1. light. 2. clear of vegetation. 3. clear, as of water or glass. 4. clear, plain."
taraap,v. pedal. Taraap speda kuat = Pedal (the) bicycle hard. n. pedal.
tarabe,"v. and adj. 1. be or become ripped or torn. 2. (of tree branches) be or become completely severed from the trunk by breaking off suddenly as a result of some force. Jaga kayu tarabe lalu ontua jatu, The tree limbe broke off and he fell."
tarampa,adj (not yet defined meaning). Setang tarampa = Prince of devils. --Roy Sekewael
tarangka,v. rise. adj. slightly raised.
tarasi,see balacang.
taree,"adj. tight, taught. Poro taree = full from eating."
taresel,v. to saw planks from tree trunks (involving at least two men. working with a two-handled saw). cf. gargaji taresel.
tari,adj. at a particular stage in areng sugar manufacture (gula tare).
tarigu,n. flour. Also tapoong.
tarika,vi. and adj. be or become tangled.
tarima,"v. accept, acquiesce."
tarima kasi,"n. gratitude, thanks. itj. thank you."
taripang,"n. beche de mer, sea-cucumber, Holothuroidea."
taro,"v. 1. put it down. Taro capaat! = Put it down NOW! 2. place. Taro akang di para-para. = Place it on the smoke rack. 3. estimate. 4. predict. Beta taro tiga hari lae. = I predict it will happen in three days time. 5. bet, wager. Ontua taro saribu rupia. = He bet 1,000 rupiahs."
taro kira,v. pay attention.
tarobe,v. and adj. be or become ripped or torn.
tarompa,n. see tarupa.
tarompong,n. 1. funnel (as of a ship). 2. pipe through which to blow air upon a fire.
taroong,n. 1. eggplant. 2. male hernia.
tarpaal,n. tarpaulin.
tarupa,n. Moluccan sandal made of sago bark and rattan thongs to protect the feet during work in sago swamps.
tarus-taruus,"adv. 1. continuously, without stopping. 2. continually."
taruus,"seq. then, thereupon."
tasala,"v. err, make a mistake. adj. 1. in error. 2. out of joint, internally dislocated. Beta pung balakang tasala, I have back pain."
tasaleep,v. slip. adj. slipped.
tasangko,v. and adj. be or become caught as in a fall.
tasi,n. 1. bag. 2. mono filament nylon fishing line.
tasimpir,v. be struck very lightly by a glancing blow.
tasisi,"adj. (of persons) backward, provincial."
tasonto,v. stub. Beta pung kaki tasonto. = I struck my foot against something. Beta pung kaki tasonto batu. = I struck my foot against a rock. cf. sonto.
tasorong-sorong,v. stagger like a drunkard.
tata,"n. father. PAN tata, elder male relative"
tatabuang,n. traditional Moluccan marimba. Also totobuang.
tatahang,adj. impeded. vi. be impeded or detained.
tatanang,adj. firmly implanted. Also tataneng.
tataneng,see tatanang.
tatidor,vi. fall asleep. cf. katidorang.
tatihu,see ikang tatihu.
tatimbang,v. be or become tipped.
tatinggal,v. be or get left behind.
tatohi,n. 1. strainer used for separating coconut milk from particles of grated coconut. 2. a fish.
tatoki,v. get knocked. Beta pung kapala tatoki di kadera. - My head got knocked on a chair.
tatongka,"v. come up against. Katong tatongka tai arus di Batu Kapal = We ran into riptides off Batu Kapal. (Malay ""tertongkat"")."
tatoro,vi. become displaced backward.
tatu,n. see ikang tatu.
tatua,adj. superior because older. Orang tatua = parents or elders. Also tutua.
tatumbu,n. 1. a kind of box made from the fiber found at the bases of pinang palm leaves. 2. A kind of marine fish. v. be struck. Beta pung kapala tatumbu di batu. = My head was struck on a rock.
tatumpa,v. and adj. be or become poured out. Spill or be spilt.
taturung,v. be or become lowered slightly.
tatusu,v. be or become impaled.
tatutu,vi. 1. be or become shut or closed. 2. capsize.
tau,v. know. adv. ever. Manusia tar tau malu = a person who knows no shame.
tau hati,v. 1. be cognitive. 2. be old enough to have self-awareness.
tau-tau,"adv. whereas, when really. Beta cari di lamari tau-tau akang di atas meja. = I looked for (it) in the cupboard whereas it was on the table."
taunya,"adv. no matter what, in any case."
tawar,v. bargain. adj. 1. tasteless. 2. (of water) fresh.
te,n. tea.
te gula,n. sweet tea or water.
te halia,n. ginger tea.
te susu,n. tea or wter with milk and sugar.
teheng,v. oppose.
tehnik,adj. technical.
tekeng,v. 1. sign. Bapa Raja balong teken Oom Ondos pung surat. = The raja hasn't signed Oom Ondos' document yet. 2. sign up for. Ana itu baru tekeng soldadu. = That kid has just signed up to become a soldier.
tekeng kontrak,v. sign a contract.
tekeng soldadu,v. sign up for military service.
tekeng tantara,v. sign up for military service.
tela,n. tile.
telefisi,n. television.
telefoon,n. telephone.
telor,adj. incapable of rolling the tongue.
tembak,"n. A kind of game in which stones are tossed at coin targets, usually for money stakes. v. shoot, especially with a firearm.q"
tembok,n. wall of stone.
tempo,n. time. adj. early. adv. early. Dia datang tempo. = He came early.
tempo dulu,adv. long ago.
tempo hari,"adv. some time ago, in the not-so-recent past. Cf. baru-baru."
tengii,adj. rancid.
tentamen,"n. test, quiz. Baca buku par tentamen."
teong,n. a traditional association of two or more clans.
terek,v. tease. cf. baterek.
terminaal,n. (bus) terminal.
testa,n. forehead.
tete,n. 1. grandfather or great uncle. 2. ancestor.
tete jaganti,n. giant.
tete momo,n. ghost having the aspect of a terrifying old man.
teteruga,n. turtle (order Chelonia).
teteruga aer,n. smooth-backed land turtle.
teteruga darat,n. smooth-backed land turtle.
tetes,n. drop. Aer satu tetes. = A drop of water.
tetu,v. peck. Bae-bae jang ayang tetu biji mata. = Beware lest the chicken peck your eyes.
tia,n. aunt.
tiang,"n. post, mast."
tiang bandera,n. flag mast.
tiang layar,n. mast of a sailing vessel.
tiang listrik,n. electric distribution pole.
tiang nok,n. upright wooden member supporting roof ridge.
tiang rumah,n. one of the posts of a house.
tiarap,adj. adv. face down. Ant. talantang.
tidor,n. 1. lie down. 2. sleep. cf. sono.
tidur,see tidor.
tifa,"n. musical drum. cf. tambur, rabana, toleng-toleng."
tifar,v. tap the mayang palm for its sap. Ontua ada pii tifar mayang. = He has gone to tap areng sap.
tikang,v. 1. stab. 2. dive (as a kite or airplane).
tikang kapala,vi. dive or fall headfirst.
tikang lutu,v. kneel.
tikoang,n. teapot.
tikus,"n. rat, mouse."
tikus mulu panjang,n. shrew.
tikus utang,n. a kind of forest rat or shrew.
tima,"n. lead, tin."
tima puti,n. tin.
timba,"n. dipper. v. 1. draw water, bail. 2. ladle (a fluid)."
timba ruang,n. dipper used to bail a canoe. cf. ruang.
timbang,v. weigh.
timbil,"n. a kind of basket woven from green sago branches and layered with runut on the inside, used by men to carry home sago meal or fruits and tubers. cf. siselang."
timor,n. east wind. adj. east.
timor,see timor.
tindis,v. press down upon.
tindis mata,v. shut both eyes hard to signal about the same thing as Americans might signal by a wink.
tingkai,adj. conceited.
tingkalong,"n. A large forest feline, the civet cat, Viverra zibetha. Also musang."
tinta,n. ink.
tinta cina,n. Chinese ink of the type that is black and comes in tiny bricks used like the colors in a watercolor set.
tio,n. uncle. v. 1. blow. Bardaya tio. = The southwest wind is blowing. 2. blow upon. Tio akang kas jato. = Blow it down. 3. inflate. Tio bola kas kamboong. = Inflate a ball by blowing. 4. blow a magic spell at. Ontua tio beta! = He blew a magic spell at me!
tio,n. see tiu
tio-tio,n. magic involving blowing.
tipis,adj. thin.
tipu,v. deceive.
tirang,"n. barnacle. n. barnacle, oyster (Pelecypoda)."
tiris,"v. pour minute quantities of liquid, especially along a palm leaf midrib. Ontua tiris beta pung mata. = She dropped (medicine) into my eyes."
tiris-tiris,"tiris-tiris, n. eaves."
tita,"v. traverse. Ontua tita batang kayu. = He traversed a fallen log. PAN titey, suspension bridge."
titi,n. see kayu titi.
tobat,v. repent. itj. wise up!
tobe,n. floats used to indicate the location of fish traps in water (Asilulu).
Tobelo,"n. an ethnic group of Halmahera and Obi, the Tobelo people."
tobu,n. 1. sugar cane. 2. any cane or reed plant.
tobu ikang,n. A reed with edible flowers.
tobu-tobu,n. a patch of reeds.
tofer,v. perform magic
tofor,see tofer.
toge,n. beansprouts.
tohar,"v. strike as with a lance or battering ram, especially to strike the water in this way with a pole in order to frighten fish. cf. pantohar."
toher,adj. afflicted with a pussy ear infection.
toi,see burung toi.
toki,"v. 1. tap lightly, as with a mallet. 2. rap, as with the knuckles. Sapa toki pintu itu? = Who is knocking at the door?"
tola,n. A fish (see ikang tola). v. push.
toleng-toleng,n. a kind of bamboo or wooden drum made of a pole having a slit cut out of one side. cf. tifa.
tolong,v. help. Tolong beta sadiki jua. = Please help me a little. adv. (often used with dolo or jua) please. Tolong angka akang dolo. = Please lift it.
toma,v. struggle against. Panggayo toma anging. = Paddle against the wind. adj. adverse. Anging toma = adverse wind.
tomat,see sayor tomat.
tombak,n. spear.
tombong,n. 1. coconut sprout which forms a ball inside the fruit. 2. Hernia that causes bulging scrotum.
tomi-tomi,see pohong tomi-tomi.
tonda,v. 1. tow. 2. troll for fish. Tonda ikang apa itu? = What kind of fish are you trolling for?
tone,v. mash. adj. mashed.
tongka,"n. 1. prop. 2. cane, walking stick. v. prop up."
tongka langit,see pisang tongka langit.
tongka pinggang,v. assume or maintain a posture with hand on hip.
tongka setang,n. A stick insect.
tongke,"see muka tongke, kayu tongke."
tongke-tongke,n. mangrove swamp. Also mangi-mangi.
toni,n. hair bangs. cf. sasak.
took,n. sound of a stone striking ground.
toong,n. steel drum. cf. dareem.
toop,n. A kind of gambling game played with cards.
top,adj. first rate.
topi,n. hat.
topu,v. clap. Topu tangang kuat. = Clap (your) hands hard.
torana,"v. strike hard, as with a lance."
tornei,v. go on a tour of inspection.
toro,"v. 1. back up, reverse. adv. in reverse. 2. move (something) a little distance away."
toti,n. the stick used to measure the distance between two pieces of thatch.
